Class,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
Class 2,< 12.515,< 1.675,< 2.275,18.05 - 20.9,≥ 102.5,1.94 - 2.605,1.48 - 2.645,0.285 - 0.405,≥ 1.84,< 3.72,≥ 1.065,2.285 - 3.025,≥ 832.5
Class 3,12.515 - 13.485,≥ 2.555,2.275 - 2.47,18.05 - 20.9,91.5 - 102.5,< 1.94,< 1.48,≥ 0.405,≥ 1.84,≥ 5.62,< 0.875,< 2.285,555 - 832.5
Class 2,< 12.515,1.675 - 2.555,< 2.275,< 18.05,91.5 - 102.5,< 1.94,1.48 - 2.645,0.285 - 0.405,< 1.355,3.72 - 5.62,≥ 1.065,< 2.285,< 555
Class 3,12.515 - 13.485,≥ 2.555,2.275 - 2.47,18.05 - 20.9,≥ 102.5,< 1.94,< 1.48,< 0.285,< 1.355,3.72 - 5.62,< 0.875,< 2.285,< 555
Class 1,12.515 - 13.485,≥ 2.555,2.275 - 2.47,< 18.05,≥ 102.5,≥ 2.605,1.48 - 2.645,0.285 - 0.405,1.355 - 1.84,3.72 - 5.62,< 0.875,2.285 - 3.025,555 - 832.5
Class 2,< 12.515,< 1.675,≥ 2.47,18.05 - 20.9,91.5 - 102.5,1.94 - 2.605,≥ 2.645,0.285 - 0.405,≥ 1.84,3.72 - 5.62,≥ 1.065,2.285 - 3.025,555 - 832.5
Class 2,< 12.515,< 1.675,2.275 - 2.47,≥ 20.9,< 91.5,≥ 2.605,≥ 2.645,0.285 - 0.405,1.355 - 1.84,3.72 - 5.62,< 0.875,2.285 - 3.025,< 555
Class 3,< 12.515,≥ 2.555,≥ 2.47,≥ 20.9,91.5 - 102.5,< 1.94,< 1.48,≥ 0.405,< 1.355,≥ 5.62,< 0.875,< 2.285,≥ 832.5
Class 1,12.515 - 13.485,≥ 2.555,≥ 2.47,≥ 20.9,≥ 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,1.355 - 1.84,3.72 - 5.62,0.875 - 1.065,2.285 - 3.025,555 - 832.5
Class 1,≥ 13.485,< 1.675,2.275 - 2.47,< 18.05,≥ 102.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,≥ 5.62,≥ 1.065,≥ 3.025,555 - 832.5
Class 1,12.515 - 13.485,≥ 2.555,≥ 2.47,18.05 - 20.9,91.5 - 102.5,1.94 - 2.605,1.48 - 2.645,< 0.285,≥ 1.84,3.72 - 5.62,0.875 - 1.065,≥ 3.025,555 - 832.5
Class 1,≥ 13.485,1.675 - 2.555,2.275 - 2.47,18.05 - 20.9,≥ 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,≥ 1.84,≥ 5.62,≥ 1.065,2.285 - 3.025,≥ 832.5
Class 2,< 12.515,≥ 2.555,≥ 2.47,18.05 - 20.9,≥ 102.5,< 1.94,1.48 - 2.645,≥ 0.405,< 1.355,3.72 - 5.62,≥ 1.065,2.285 - 3.025,555 - 832.5
Class 1,≥ 13.485,≥ 2.555,≥ 2.47,< 18.05,≥ 102.5,≥ 2.605,≥ 2.645,< 0.285,1.355 - 1.84,3.72 - 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 1,≥ 13.485,1.675 - 2.555,2.275 - 2.47,18.05 - 20.9,≥ 102.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,≥ 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 1,≥ 13.485,1.675 - 2.555,2.275 - 2.47,< 18.05,91.5 - 102.5,≥ 2.605,≥ 2.645,< 0.285,1.355 - 1.84,3.72 - 5.62,≥ 1.065,≥ 3.025,≥ 832.5
Class 2,< 12.515,< 1.675,< 2.275,< 18.05,< 91.5,1.94 - 2.605,1.48 - 2.645,0.285 - 0.405,1.355 - 1.84,< 3.72,≥ 1.065,2.285 - 3.025,< 555
Class 2,< 12.515,< 1.675,≥ 2.47,≥ 20.9,< 91.5,1.94 - 2.605,1.48 - 2.645,≥ 0.405,1.355 - 1.84,< 3.72,≥ 1.065,2.285 - 3.025,< 555
Class 1,≥ 13.485,< 1.675,< 2.275,< 18.05,91.5 - 102.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,≥ 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 2,< 12.515,< 1.675,≥ 2.47,18.05 - 20.9,≥ 102.5,< 1.94,1.48 - 2.645,≥ 0.405,< 1.355,< 3.72,≥ 1.065,< 2.285,< 555
Class 1,12.515 - 13.485,1.675 - 2.555,< 2.275,< 18.05,≥ 102.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,3.72 - 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 1,≥ 13.485,≥ 2.555,2.275 - 2.47,18.05 - 20.9,≥ 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,< 1.355,3.72 - 5.62,< 0.875,≥ 3.025,≥ 832.5
Class 3,≥ 13.485,≥ 2.555,≥ 2.47,≥ 20.9,≥ 102.5,< 1.94,1.48 - 2.645,< 0.285,< 1.355,≥ 5.62,< 0.875,< 2.285,< 555
Class 1,≥ 13.485,1.675 - 2.555,≥ 2.47,< 18.05,≥ 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,1.355 - 1.84,≥ 5.62,≥ 1.065,2.285 - 3.025,≥ 832.5
Class 3,12.515 - 13.485,1.675 - 2.555,2.275 - 2.47,18.05 - 20.9,< 91.5,< 1.94,< 1.48,≥ 0.405,< 1.355,≥ 5.62,< 0.875,< 2.285,< 555
Class 2,< 12.515,< 1.675,< 2.275,18.05 - 20.9,< 91.5,1.94 - 2.605,1.48 - 2.645,0.285 - 0.405,1.355 - 1.84,< 3.72,0.875 - 1.065,≥ 3.025,< 555
Class 2,< 12.515,≥ 2.555,< 2.275,18.05 - 20.9,< 91.5,1.94 - 2.605,1.48 - 2.645,0.285 - 0.405,≥ 1.84,< 3.72,0.875 - 1.065,≥ 3.025,555 - 832.5
Class 2,< 12.515,≥ 2.555,< 2.275,< 18.05,≥ 102.5,< 1.94,< 1.48,≥ 0.405,< 1.355,< 3.72,0.875 - 1.065,2.285 - 3.025,< 555
Class 2,< 12.515,< 1.675,< 2.275,18.05 - 20.9,< 91.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,3.72 - 5.62,≥ 1.065,2.285 - 3.025,< 555
Class 1,≥ 13.485,1.675 - 2.555,2.275 - 2.47,< 18.05,≥ 102.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,≥ 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 1,≥ 13.485,1.675 - 2.555,2.275 - 2.47,< 18.05,≥ 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,≥ 1.84,≥ 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 1,12.515 - 13.485,1.675 - 2.555,≥ 2.47,18.05 - 20.9,91.5 - 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,≥ 1.84,≥ 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 2,< 12.515,< 1.675,≥ 2.47,≥ 20.9,< 91.5,< 1.94,1.48 - 2.645,0.285 - 0.405,< 1.355,< 3.72,≥ 1.065,≥ 3.025,555 - 832.5
Class 2,12.515 - 13.485,≥ 2.555,< 2.275,≥ 20.9,< 91.5,≥ 2.605,≥ 2.645,0.285 - 0.405,≥ 1.84,< 3.72,< 0.875,≥ 3.025,< 555
Class 1,≥ 13.485,1.675 - 2.555,2.275 - 2.47,< 18.05,≥ 102.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,≥ 5.62,≥ 1.065,≥ 3.025,≥ 832.5
Class 1,12.515 - 13.485,1.675 - 2.555,< 2.275,< 18.05,91.5 - 102.5,1.94 - 2.605,1.48 - 2.645,< 0.285,< 1.355,3.72 - 5.62,0.875 - 1.065,2.285 - 3.025,≥ 832.5
Class 3,12.515 - 13.485,< 1.675,2.275 - 2.47,< 18.05,≥ 102.5,< 1.94,< 1.48,< 0.285,< 1.355,3.72 - 5.62,< 0.875,< 2.285,555 - 832.5
Class 2,< 12.515,< 1.675,≥ 2.47,18.05 - 20.9,91.5 - 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,≥ 1.84,< 3.72,0.875 - 1.065,≥ 3.025,555 - 832.5
Class 2,< 12.515,< 1.675,2.275 - 2.47,≥ 20.9,< 91.5,1.94 - 2.605,1.48 - 2.645,≥ 0.405,1.355 - 1.84,< 3.72,≥ 1.065,≥ 3.025,555 - 832.5
Class 1,≥ 13.485,1.675 - 2.555,≥ 2.47,18.05 - 20.9,≥ 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,≥ 1.84,≥ 5.62,≥ 1.065,2.285 - 3.025,≥ 832.5
Class 1,≥ 13.485,1.675 - 2.555,≥ 2.47,< 18.05,≥ 102.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,≥ 5.62,< 0.875,≥ 3.025,≥ 832.5
Class 1,12.515 - 13.485,< 1.675,≥ 2.47,< 18.05,≥ 102.5,1.94 - 2.605,≥ 2.645,0.285 - 0.405,1.355 - 1.84,3.72 - 5.62,≥ 1.065,2.285 - 3.025,≥ 832.5
Class 2,< 12.515,< 1.675,< 2.275,< 18.05,< 91.5,1.94 - 2.605,< 1.48,< 0.285,< 1.355,< 3.72,0.875 - 1.065,< 2.285,< 555
Class 1,≥ 13.485,1.675 - 2.555,2.275 - 2.47,< 18.05,< 91.5,1.94 - 2.605,≥ 2.645,0.285 - 0.405,1.355 - 1.84,3.72 - 5.62,≥ 1.065,2.285 - 3.025,≥ 832.5
Class 2,< 12.515,< 1.675,≥ 2.47,≥ 20.9,< 91.5,1.94 - 2.605,1.48 - 2.645,≥ 0.405,< 1.355,< 3.72,0.875 - 1.065,≥ 3.025,< 555
Class 2,≥ 13.485,< 1.675,< 2.275,≥ 20.9,< 91.5,< 1.94,1.48 - 2.645,< 0.285,< 1.355,3.72 - 5.62,0.875 - 1.065,2.285 - 3.025,< 555
Class 2,< 12.515,< 1.675,< 2.275,18.05 - 20.9,< 91.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,3.72 - 5.62,0.875 - 1.065,2.285 - 3.025,555 - 832.5
Class 2,< 12.515,1.675 - 2.555,2.275 - 2.47,≥ 20.9,91.5 - 102.5,1.94 - 2.605,1.48 - 2.645,0.285 - 0.405,< 1.355,< 3.72,< 0.875,≥ 3.025,< 555
Class 1,≥ 13.485,< 1.675,< 2.275,< 18.05,≥ 102.5,1.94 - 2.605,≥ 2.645,< 0.285,1.355 - 1.84,≥ 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 2,12.515 - 13.485,< 1.675,2.275 - 2.47,< 18.05,≥ 102.5,1.94 - 2.605,< 1.48,≥ 0.405,< 1.355,< 3.72,0.875 - 1.065,< 2.285,555 - 832.5
Class 1,12.515 - 13.485,1.675 - 2.555,< 2.275,< 18.05,91.5 - 102.5,≥ 2.605,≥ 2.645,< 0.285,< 1.355,3.72 - 5.62,0.875 - 1.065,≥ 3.025,≥ 832.5
Class 3,12.515 - 13.485,1.675 - 2.555,≥ 2.47,≥ 20.9,≥ 102.5,1.94 - 2.605,< 1.48,< 0.285,1.355 - 1.84,≥ 5.62,< 0.875,< 2.285,< 555
Class 2,< 12.515,≥ 2.555,2.275 - 2.47,≥ 20.9,< 91.5,≥ 2.605,≥ 2.645,< 0.285,≥ 1.84,< 3.72,< 0.875,≥ 3.025,< 555
Class 3,12.515 - 13.485,≥ 2.555,≥ 2.47,≥ 20.9,91.5 - 102.5,< 1.94,< 1.48,≥ 0.405,< 1.355,3.72 - 5.62,< 0.875,< 2.285,< 555
Class 3,12.515 - 13.485,≥ 2.555,≥ 2.47,≥ 20.9,91.5 - 102.5,< 1.94,< 1.48,≥ 0.405,1.355 - 1.84,≥ 5.62,< 0.875,< 2.285,555 - 832.5
Class 1,≥ 13.485,< 1.675,< 2.275,< 18.05,91.5 - 102.5,≥ 2.605,≥ 2.645,0.285 - 0.405,≥ 1.84,3.72 - 5.62,≥ 1.065,2.285 - 3.025,≥ 832.5
Class 3,12.515 - 13.485,≥ 2.555,2.275 - 2.47,≥ 20.9,91.5 - 102.5,< 1.94,< 1.48,≥ 0.405,1.355 - 1.84,≥ 5.62,< 0.875,< 2.285,555 - 832.5
